H2_Resource,Zone,Commit,New_Build,etaG2P_MWh_p_tonne,Inv_Cost_p_MW_p_yr,Fixed_OM_p_MW_yr,Var_OM_Cost_p_MWh,Max_Cap_MW,Min_Cap_MW,Existing_Cap_MW,Cap_Size_MW,Ramp_Up_Percentage,Ramp_Down_Percentage,G2P_min_output,Start_Cost_per_MW,Up_Time,Down_Time
CCGT-H2_1.0,1,0,1,21.645,60243.741,10448.1,1.611,-1,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_1.0,1,0,1,19.98,74749.725,26006.121,0,-1,0,0,1,1,1,0.1,0,1,1
CCGT-H2_2.0,2,0,1,21.645,60243.741,10448.1,1.611,-1,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_2.0,2,0,1,19.98,74749.725,26006.121,0,-1,0,0,1,1,1,0.1,0,1,1
CCGT-H2_3.0,3,0,1,21.645,60243.741,10448.1,1.611,-1,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_3.0,3,0,1,19.98,74749.725,26006.121,0,-1,0,0,1,1,1,0.1,0,1,1
CCGT-H2_4.0,4,0,1,21.645,60243.741,10448.1,1.611,-1,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_4.0,4,0,1,19.98,74749.725,26006.121,0,-1,0,0,1,1,1,0.1,0,1,1
CCGT-H2_5.0,5,0,1,21.645,60243.741,10448.1,1.611,-1,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_5.0,5,0,1,19.98,74749.725,26006.121,0,-1,0,0,1,1,1,0.1,0,1,1
CCGT-H2_6.0,6,0,1,21.645,60243.741,10448.1,1.611,-1,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_6.0,6,0,1,19.98,74749.725,26006.121,0,-1,0,0,1,1,1,0.1,0,1,1
CCGT-H2_7.0,7,0,1,21.645,60243.741,10448.1,1.611,-1,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_7.0,7,0,1,19.98,74749.725,26006.121,0,-1,0,0,1,1,1,0.1,0,1,1
CCGT-H2_8.0,8,0,1,21.645,60243.741,10448.1,1.611,-1,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_8.0,8,0,1,19.98,74749.725,26006.121,0,-1,0,0,1,1,1,0.1,0,1,1
CCGT-H2_9.0,9,0,1,21.645,60243.741,10448.1,1.611,-1,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_9.0,9,0,1,19.98,74749.725,26006.121,0,-1,0,0,1,1,1,0.1,0,1,1
CCGT-H2_10.0,10,0,1,21.645,60243.741,10448.1,1.611,-1,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_10.0,10,0,1,19.98,74749.725,26006.121,0,-1,0,0,1,1,1,0.1,0,1,1
