CO2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_hr_Per_Pipe,Pipe_length_miles,CO2PipeLoss_tonne_per_mile_per_tonne,CO2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,CO2_len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,CO2Pipe_Inv_Cost_per_mile_yr,CO2Pipe_Fixed_OM_Cost_per_mile_yr,CO2Pipe_Energy_MWh_per_mile_per_tonne,transmission_path_name
1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1000,0,1141.552511,197,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_INKY_to_PJM_COMD
2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1000,0,1141.552511,204,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_INKY_to_PJM_West
3,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1000,0,1141.552511,147.5,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_INKY_to_S_C_KY
4,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1000,0,1141.552511,101.9,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_WMAC_to_PJM_EMAC
5,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1000,0,1141.552511,104.8,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_WMAC_to_PJM_PENE
6,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1000,0,1141.552511,296.8,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_WMAC_to_PJM_ATSI
7,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1000,0,1141.552511,92.1,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_SMAC_to_PJM_EMAC
8,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1000,0,1141.552511,126.4,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_SMAC_to_PJM_Dom
9,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1000,0,1141.552511,136.4,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_SMAC_to_PJM_AP
10,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1000,0,1141.552511,110.9,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_West_to_S_C_KY
11,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1000,0,1141.552511,201.2,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_West_to_PJM_AP
12,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1000,0,1141.552511,298.7,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_West_to_PJM_Dom
13,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,1000,0,1141.552511,154.9,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_West_to_PJM_ATSI
14,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,1000,0,1141.552511,177.6,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_AP_to_PJM_ATSI
15,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,1000,0,1141.552511,117.3,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_AP_to_PJM_PENE
16,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1000,0,1141.552511,174.3,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_AP_to_PJM_Dom
17,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1000,0,1141.552511,193,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_ATSI_to_PJM_PENE
18,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,1141.552511,132,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_WMAC_to_PJM_SMAC
19,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,1000,0,1141.552511,177.1,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_WMAC_to_PJM_AP
